Series	year	month	day	data_recorder	data_collector	boat_driver	starttime_hour	starttime_min	endtime_hour	endtime_min	site	surfacetemp_fishfinder_farenheit	depth_ft	airtemp_c	percentcloudcover	precipitation	precip_type	windspeed_kmh	wind_direction	hightide1_hour	hightide1_min	hightide1_m	lowtide1_hour	lowtide1_min	lowtide1_m	hightide2_hour	hightide2_min	hightide2_m	lowtide2_hour	lowtide2_min	lowtide2_m	tek_plants	tek_birds	tek_amphibians	tek_invertebrates	gateactivity1_type	gateactivity1_hour	gateactivity1_min	gateactvity1_notes	gateactivity2_type	gateactivity2_hour	gateactivity2_min	gateactivity2_notes	gateactivity3_type	gateactivity3_hour	gateactivity3_min	gateactivity3_notes	gateactivity4_type	gateactivity4_hour	gateactivity4_min	gateactivity4_notes	gear_type	net_material	meshsize_inch	eelpotnumber	eelpot_bait	eelpot_baittype	gps_waypoint_in	utm_in_zone	utm_in_n	utm_in_e	utm_out_n	utm_out_e	gearnumber_set	set_number	newsetnum	timein_year	timein_month	timein_day	timein_hour	timein_min	timeout_month	timeout_day	timeout_hour	timeout_min	capture	common_name	species_name	unknown_species_note	fl_cm	tl_cm	sex	weight_g	abundance	notes	notes2
17	2017	4	8	Lita O'Halloran	Lita O'Halloran	Darren Porter	9	10	11	57	Tideside	38.3	NA	4	75	N	NA	13	S	NA	NA	NA	5	59	1.7	11	52	13.3	18	23	1.6	"Pussywillows in bloom, willow trees are producing new shoots"	"Canada geese flying SE on arrival, adult and juvenile eagles present, ring-necked pheasants are out, crows and starlings present"	NA	NA	open	9	10	"on arrival, both gates open"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Nylon	3	NA	NA	NA	11	20	409351	4983735	NA	NA	7	7	1	2017	4	8	9	50	4	8	10	50	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3625	2017	5	30	Maja Reinhartsen	Andrew Collins	Darren Porter	4	30	7	58	Lakeside	56.6	7.8	5	50	N	NA	5	N	5	5	8.1	11	25	-2.9	17	40	7.4	23	50	-2.2	Apple blossoms falling indicates a large bass spawn within a week & 1st bails of hay are being cut which means the Sturgeons will be here soon	Cormorants & Black Ducks increasing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eelpot	NA	NA	0	Y	Gaspereau	51	20	NA	NA	NA	NA	10	1	NA	2017	5	30	5	47	5	30	7	14	N	NA	NA	NA	NA	NA	NA	NA	NA	"*waypoints are from Darren's GPS not ours, see his FF for the lat/long"	NA
3693	2017	5	30	Maja Reinhartsen	Andrew Collins	Darren Porter	13	50	18	1	Tideside	68	15.9	18	15	N	NA	9	S	5	5	8.1	11	25	-2.9	17	40	7.4	23	50	-2.2	Apple blossoms falling indicates a large bass spawn within a week & 1st bails of hay are being cut which means the Sturgeons will be here soon	Cormorants & Black Ducks increasing	NA	NA	open	14	46	NA	closed	14	54	NA	open	15	54	NA	closed	15	59	NA	Eelpot	NA	NA	0	Y	Gaspereau	NA	20	NA	NA	NA	NA	5	1	NA	2017	5	30	14	45	5	30	16	59	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3903	2017	6	4	Maja Reinhartsen	Andrew Collins	Darren Porter	6	0	10	7	Tideside	59.3	17.1	13	95	N	NA	11	NNW	9	28	7	3	31	-1.8	21	49	7.2	15	44	-1.9	NA	NA	NA	NA	closed	6	11	closed on arrival	open	7	25	NA	closed	7	28	gates closed after only 3 minutes	closed	10	7	closed on departure	Eelpot	NA	NA	0	Y	Gaspereau	NA	20	NA	NA	NA	NA	4	1	NA	2017	6	4	6	59	6	4	9	23	Y	American Eel	Anguilla rostrata	NA	NA	NA	NA	NA	1	NA	NA
4892	2017	6	5	Andrew Collins	Maja Reinhartsen	Darren Porter	6	58	11	47	Lakeside	66.2	16.9	8	75	N	NA	5	NNE	10	32	12.6	4	34	2.3	22	57	13	16	58	2.3	tent caterpillars everywhere	NA	NA	NA	closed	7	0	closed on arrival	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eelpot	NA	NA	0	Y	Gaspereau	NA	20	NA	NA	NA	NA	6	1	NA	2017	6	5	8	19	6	5	10	47	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	2017	4	8	Lita O'Halloran	Lita O'Halloran	Darren Porter	9	10	11	57	Tideside	38.3	NA	4	75	N	NA	13	S	NA	NA	NA	5	59	1.7	11	52	13.3	18	23	1.6	"Pussywillows in bloom, willow trees are producing new shoots"	"Canada geese flying SE on arrival, adult and juvenile eagles present, ring-necked pheasants are out, crows and starlings present"	NA	NA	open	9	10	"on arrival, both gates open"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	1.5	NA	NA	NA	14	20	409547	4983278	NA	NA	10	10	1	2017	4	8	10	34	4	8	11	34	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	2017	4	8	Lita O'Halloran	Lita O'Halloran	Darren Porter	9	10	11	57	Tideside	38.3	NA	4	75	N	NA	13	S	NA	NA	NA	5	59	1.7	11	52	13.3	18	23	1.6	"Pussywillows in bloom, willow trees are producing new shoots"	"Canada geese flying SE on arrival, adult and juvenile eagles present, ring-necked pheasants are out, crows and starlings present"	NA	NA	open	9	10	"on arrival, both gates open"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	1.5	NA	NA	NA	15	20	409579	4983264	NA	NA	11	11	1	2017	4	8	10	35	4	8	11	35	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	2017	4	8	Lita O'Halloran	Lita O'Halloran	Darren Porter	9	10	11	57	Tideside	38.3	NA	4	75	N	NA	13	S	NA	NA	NA	5	59	1.7	11	52	13.3	18	23	1.6	"Pussywillows in bloom, willow trees are producing new shoots"	"Canada geese flying SE on arrival, adult and juvenile eagles present, ring-necked pheasants are out, crows and starlings present"	NA	NA	open	9	10	"on arrival, both gates open"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	5.5	NA	NA	NA	16	20	409601	4983259	NA	NA	12	12	1	2017	4	8	10	36	4	8	11	36	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	2017	4	8	Lita O'Halloran	Lita O'Halloran	Darren Porter	9	10	11	57	Tideside	38.3	NA	4	75	N	NA	13	S	NA	NA	NA	5	59	1.7	11	52	13.3	18	23	1.6	"Pussywillows in bloom, willow trees are producing new shoots"	"Canada geese flying SE on arrival, adult and juvenile eagles present, ring-necked pheasants are out, crows and starlings present"	NA	NA	open	9	10	"on arrival, both gates open"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.875	NA	NA	NA	17	20	409647	4983242	NA	NA	13	13	1	2017	4	8	10	37	4	8	11	37	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	2017	4	8	Lita O'Halloran	Lita O'Halloran	Darren Porter	9	10	11	57	Tideside	38.3	NA	4	75	N	NA	13	S	NA	NA	NA	5	59	1.7	11	52	13.3	18	23	1.6	"Pussywillows in bloom, willow trees are producing new shoots"	"Canada geese flying SE on arrival, adult and juvenile eagles present, ring-necked pheasants are out, crows and starlings present"	NA	NA	open	9	10	"on arrival, both gates open"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.75	NA	NA	NA	18	20	409673	4983245	NA	NA	14	14	1	2017	4	8	10	38	4	8	11	38	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27	2017	4	8	Lita O'Halloran	Lita O'Halloran	Darren Porter	9	10	11	57	Tideside	38.3	NA	4	75	N	NA	13	S	NA	NA	NA	5	59	1.7	11	52	13.3	18	23	1.6	"Pussywillows in bloom, willow trees are producing new shoots"	"Canada geese flying SE on arrival, adult and juvenile eagles present, ring-necked pheasants are out, crows and starlings present"	NA	NA	open	9	10	"on arrival, both gates open"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Nylon	3	NA	NA	NA	19	20	409465	4983264	NA	NA	15	15	1	2017	4	8	10	58	4	8	11	55	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4912	2017	6	6	Andrew Collins	Maja Reinhartsen	Darren Porter	8	0	11	17	Lakeside	60	NA	6	100	N	NA	6	NE	NA	NA	NA	5	40	2.1	11	50	7.1	17	55	1.9	serviseberry trees in bloom indicative of Shad outward migration	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eelpot	NA	NA	0	Y	Gaspereau	NA	20	NA	NA	NA	NA	6	1	NA	2017	6	5	10	47	6	6	9	21	Y	American Eel	Anguilla rostrata	NA	NA	NA	NA	NA	1	NA	NA
5260	2017	6	23	Maja Reinhartsen	Zhe Yang	Darren Porter	7	54	14	40	Lakeside	72.5	7	19.8	10	N	NA	6	SW	12	10	8.2	6	35	3	12	45	7.6	19	0	2.6	NA	NA	NA	NA	open	8	36	"gates closed on arrival, opened for 11 minutes at 8:36 am"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eelpot	NA	NA	0	N	NA	NA	NA	NA	NA	NA	NA	27	1	NA	2017	6	16	8	45	6	23	11	11	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5342	2017	6	24	Maja Reinhartsen	Zhe Yang	Darren Porter	15	0	20	30	Lakeside	73.6	9	24.7	100	N	NA	5.2	ESE	1	5	8.4	7	30	3.3	13	40	7.7	19	55	2.8	NA	NA	NA	NA	closed	3	30	gates closed on arrival and departure	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eelpot	NA	NA	0	Y	Gaspereau	NA	NA	NA	NA	NA	NA	29	1	NA	2017	6	23	11	12	6	24	18	12	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5429	2017	6	25	Maja Reinhartsen	Maja Reinhartsen	Darren Porter	15	54	18	59	Lakeside	76.4	12	27.6	25	N	NA	7.4	NNW	9	55	1.8	4	0	0.1	22	5	2	16	20	0.2	NA	NA	NA	NA	closed	15	54	gates closed on arrival and departure	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eelpot	NA	NA	0	Y	Gaspereau	NA	NA	NA	NA	NA	NA	29	1	NA	2017	6	24	18	12	6	25	18	3	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6167	2017	8	29	Zhe Yang	Maja Reinhartsen	Darren Porter	16	15	20	5	Tideside	NA	NA	NA	NA	NA	NA	NA	NA	7	5	6.5	1	0	-1.6	19	30	6.6	13	20	-1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eelpot	NA	NA	0	Y	Gaspereau	NA	NA	NA	NA	NA	NA	20	1	NA	2017	8	29	16	59	8	29	19	21	Y	American Eel	Anguilla rostrata	NA	NA	40	NA	NA	1	NA	NA
94	2017	4	13	Lita O'Halloran	Lita O'Halloran	Darren Porter	4	30	16	15	Lakeside	42	NA	7.6	0	N	NA	12	WSW	2	48	14	9	24	1	15	10	13.6	21	41	1.4	Pussywillows in bloom	NA	Spring Peepers	NA	open	4	14	saltwater entering lake	closed	4	20	Darren Porter called gate house to close gates	open	5	51	warning light did not turn on until 0630	closed	12	36	NA	Eelpot	NA	NA	1	N	NA	NA	20	NA	NA	NA	NA	18	18	1	2017	4	11	NA	NA	4	13	6	10	Y	White Sucker	Catostomus commersonii	NA	NA	31	NA	NA	1	TAIL BROKEN	NA
132	2017	4	13	Lita O'Halloran	Lita O'Halloran	Darren Porter	4	30	16	15	Lakeside	42	NA	7.6	0	N	NA	12	WSW	2	48	14	9	24	1	15	10	13.6	21	41	1.4	Pussywillows in bloom	NA	Spring Peepers	NA	open	4	14	saltwater entering lake	closed	4	20	Darren Porter called gate house to close gates	open	5	51	warning light did not turn on until 0643	closed	12	36	NA	Eelpot	NA	NA	1	Y	Gaspereau	EEL1	20	NA	NA	NA	NA	12	12	1	2017	4	13	9	36	4	13	11	44	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
133	2017	4	13	Lita O'Halloran	Lita O'Halloran	Darren Porter	4	30	16	15	Lakeside	42	NA	7.6	0	N	NA	12	WSW	2	48	14	9	24	1	15	10	13.6	21	41	1.4	Pussywillows in bloom	NA	Spring Peepers	NA	open	4	14	saltwater entering lake	closed	4	20	Darren Porter called gate house to close gates	open	5	51	warning light did not turn on until 0643	closed	12	36	NA	Eelpot	NA	NA	1	Y	Gaspereau	EEL1	20	NA	NA	NA	NA	12	12	2	2017	4	13	11	44	4	13	15	41	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
228	2017	4	14	Erica Porter	Erica Porter	Darren Porter	18	8	19	30	Lakeside	NA	NA	9.9	95	Y	NA	11	NNW	3	28	13.8	10	4	1.2	15	51	13.3	22	21	1.7	NA	NA	NA	NA	open	18	54	determined by alarm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eelpot	NA	NA	1	NA	NA	EEL1-2	20	NA	NA	NA	NA	19	19	NA	2017	4	13	15	41	4	14	18	25	Y	American Eel	Anguilla rostrata	NA	NA	38	NA	NA	1	NA	NA
323	2017	4	15	Paul Stephenson	Paul Stephenson	Darren Porter	6	30	9	30	Lakeside	NA	NA	6.6	NA	NA	NA	14	WSW	4	8	13.4	10	44	1.6	16	32	12.9	23	1	2.1	NA	NA	NA	NA	open	7	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eelpot	NA	NA	1	NA	NA	45	20	NA	NA	NA	NA	NA	NA	1	2017	4	14	18	45	4	15	7	35	N	NA	NA	NA	NA	NA	NA	NA	NA	eelpot left in overnight	NA
446	2017	4	18	Emma Carmichael	Emma Carmichael	Darren Porter	6	30	11	30	Lakeside	NA	NA	NA	NA	NA	NA	NA	NA	6	28	12.3	12	59	2.6	19	0	11.8	0	30	2.9	NA	NA	NA	NA	open	NA	NA	on arrival	open	NA	NA	on departure	NA	NA	NA	NA	NA	NA	NA	NA	Eelpot	NA	NA	1	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	1	2017	4	15	NA	NA	4	18	NA	NA	Y	American Eel	Anguilla rostrata	NA	NA	57	NA	NA	1	KEPT	NA
447	2017	4	18	Emma Carmichael	Emma Carmichael	Darren Porter	6	30	11	30	Lakeside	NA	NA	NA	NA	NA	NA	NA	NA	6	28	12.3	12	59	2.6	19	0	11.8	0	30	2.9	NA	NA	NA	NA	open	NA	NA	on arrival	open	NA	NA	on departure	NA	NA	NA	NA	NA	NA	NA	NA	Eelpot	NA	NA	1	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	1	2017	4	15	NA	NA	4	18	NA	NA	Y	American Eel	Anguilla rostrata	NA	NA	47	NA	NA	1	KEPT	NA
448	2017	4	18	Emma Carmichael	Emma Carmichael	Darren Porter	6	30	11	30	Lakeside	NA	NA	NA	NA	NA	NA	NA	NA	6	28	12.3	12	59	2.6	19	0	11.8	0	30	2.9	NA	NA	NA	NA	open	NA	NA	on arrival	open	NA	NA	on departure	NA	NA	NA	NA	NA	NA	NA	NA	Eelpot	NA	NA	1	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	1	2017	4	15	NA	NA	4	18	NA	NA	Y	White Sucker	Catostomus commersonii	NA	20	25	NA	NA	1	"emma was out with Mandy, before 1130 am for 2.5 hours"	NA
